Sample	System	Organ	CellType
ENCSR249CKG.Chorion.UCSF_Costello	Embryonic	Chorion	Chorion
ENCSR174ESD.Fetal_Muscle_Leg.UW_Glass	Musculoskeletal	Muscle	Muscle
ENCSR830HIN.Primary_hematopoietic_stem_cells.FHCRC_Heimfeld	Blood	Blood	HSC
ENCSR472PBS.hESC_Derived_CD184._Endoderm_Cultured_Cells.Harvard	Embryonic	Endoderm	Endoderm
ENCSR653DFZ.G401_Rhabdoid_Tumor.CSHL_Gingeras	Urinary	Kidney	Rhabdoid
ENCSR000BYM.Panc1_Epithelioid_Carcinoma_Cell_Line.HAIB_Myers	Gastrointestinal	Pancreas	Carcinoma
ENCSR000AFO.Camera.type_Eye.CSHL_Gingeras	Eye	Eye	Eye
ENCSR001ODS.Primary_mononuclear_cells_from_peripheral_blood.UCSF_Costello	Blood	Blood	T.cell
ENCSR851GNB.Foreskin_Fibroblast_Primary_Cells_skin02.UCSF_Costello	Skin	Dermis	Fibroblast
ENCSR910QOX.Spleen.Stanford_Snyder	Immune	Spleen	Spleen
ENCSR044JAQ.Fetal_Lung.UW_Glass	Respiratory	Lung	Lung
ENCSR000AFF.Skeletal_Muscle_Female.CSHL_Gingeras	Musculoskeletal	Muscle	Skeletal
ENCSR000EYR.HepG2_Hepatocellular_Carcinoma_Cell_Line.Caltech_Wold	Gastrointestinal	Liver	Carcinoma
ENCSR969JYY.Brain_Germinal_Matrix.UCSF_Costello	Nervous	Brain	Brain
ENCSR261ISO.Foreskin_Fibroblast_Primary_Cells_skin03.UCSF_Costello	Skin	Dermis	Fibroblast
ENCSR510PSL.Spleen.Stanford_Snyder	Immune	Spleen	Spleen
ENCSR000COY.HSMM_Skeletal_Muscle_Myoblasts_Cells.CSHL_Gingeras	Musculoskeletal	Muscle	Skeletal
ENCSR861SOG.Fetal_Lung.UW_Glass	Respiratory	Lung	Lung
ENCSR999ZCI.Sigmoid_Colon.Stanford_Snyder	Gastrointestinal	Colon	Colon
ENCSR000CWP.LHCN.M2_Skeletal_Muscle_Myoblast_Cells.Caltech_Wold	Musculoskeletal	Muscle	Skeletal
ENCSRMAR043.Primary_T_helper_cells_from_peripheral_blood.Broad_Bernstein	Blood	Blood	T.cell
ENCSR333FZW.Fetal_Spinal_Cord.UW_Glass	Nervous	Brain	Spinal cord
ENCSR000CWO.LHCN.M2_Skeletal_Muscle_Myoblast_Cells.Caltech_Wold	Musculoskeletal	Muscle	Skeletal
ENCSR000CUB.Hair_Follicle_Dermal_Papilla_Primary_Cells.CSHL_Gingeras	Skin	Dermis	Follicular
ENCSR104ZDH.Placenta.UCSF_Costello	Reproductive	Placenta	Placenta
ENCSRMAR041.Primary_T_helper_cells_PMA.I_stimulated.Broad_Bernstein	Blood	Blood	T.cell
ENCSR999CPT.Placenta.UCSF_Costello	Reproductive	Placenta	Placenta
